fixture_id,match_no,stage,group_name,kickoff_time_utc,venue,city,home_team_id,home_team_code,home_team_name,home_team_name_en,away_team_id,away_team_code,away_team_name,away_team_name_en,official_source
official-001,1,Group Stage,A,2026-06-11T19:00:00Z,Estadio Azteca,Mexico City,mex,MEX,墨西哥,Mexico,rsa,RSA,南非,South Africa,fifa_official_pdf
official-002,2,Group Stage,A,2026-06-12T02:00:00Z,Estadio Akron,Zapopan,kor,KOR,韩国,Korea Republic,cze,CZE,捷克,Czechia,fifa_official_pdf
official-003,3,Group Stage,B,2026-06-12T19:00:00Z,BMO Field,Toronto,can,CAN,加拿大,Canada,bih,BIH,波黑,Bosnia and Herzegovina,fifa_official_pdf
official-004,4,Group Stage,D,2026-06-13T01:00:00Z,SoFi Stadium,Inglewood,usa,USA,美国,United States,par,PAR,巴拉圭,Paraguay,fifa_official_pdf
official-005,5,Group Stage,C,2026-06-14T01:00:00Z,Gillette Stadium,Foxborough,hai,HAI,海地,Haiti,sco,SCO,苏格兰,Scotland,fifa_official_pdf
official-006,6,Group Stage,D,2026-06-14T04:00:00Z,BC Place,Vancouver,aus,AUS,澳大利亚,Australia,tur,TUR,土耳其,Turkiye,fifa_official_pdf
official-007,7,Group Stage,C,2026-06-13T22:00:00Z,MetLife Stadium,East Rutherford,bra,BRA,巴西,Brazil,mar,MAR,摩洛哥,Morocco,fifa_official_pdf
official-008,8,Group Stage,B,2026-06-13T19:00:00Z,Levi's Stadium,Santa Clara,qat,QAT,卡塔尔,Qatar,sui,SUI,瑞士,Switzerland,fifa_official_pdf
official-009,9,Group Stage,E,2026-06-14T23:00:00Z,Lincoln Financial Field,Philadelphia,civ,CIV,科特迪瓦,Cote d'Ivoire,ecu,ECU,厄瓜多尔,Ecuador,fifa_official_pdf
official-010,10,Group Stage,E,2026-06-14T17:00:00Z,NRG Stadium,Houston,ger,GER,德国,Germany,cuw,CUW,库拉索,Curacao,fifa_official_pdf
official-011,11,Group Stage,F,2026-06-14T20:00:00Z,AT&T Stadium,Arlington,ned,NED,荷兰,Netherlands,jpn,JPN,日本,Japan,fifa_official_pdf
official-012,12,Group Stage,F,2026-06-15T02:00:00Z,Estadio BBVA,Guadalupe,swe,SWE,瑞典,Sweden,tun,TUN,突尼斯,Tunisia,fifa_official_pdf
official-013,13,Group Stage,H,2026-06-15T22:00:00Z,Hard Rock Stadium,Miami Gardens,ksa,KSA,沙特阿拉伯,Saudi Arabia,uru,URU,乌拉圭,Uruguay,fifa_official_pdf
official-014,14,Group Stage,H,2026-06-15T16:00:00Z,Mercedes-Benz Stadium,Atlanta,esp,ESP,西班牙,Spain,cpv,CPV,佛得角,Cabo Verde,fifa_official_pdf
