match_id,match_date_utc,competition_name,competition_type,competition_stage,home_team_id,home_team_code,home_team_name,home_team_name_en,away_team_id,away_team_code,away_team_name,away_team_name_en,home_score_ft,away_score_ft,result_90m,result_final,venue,city,country,neutral_flag,source,source_match_id
18721130-sco-eng-friendly,1872-11-30T00:00:00Z,Friendly,friendly,Friendly,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,0,0,draw,draw,Glasgow,Glasgow,Scotland,0,martj42/international_results,1872-11-30__scotland__england
18730308-eng-sco-friendly,1873-03-08T00:00:00Z,Friendly,friendly,Friendly,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,4,2,home,home,London,London,England,0,martj42/international_results,1873-03-08__england__scotland
18740307-sco-eng-friendly,1874-03-07T00:00:00Z,Friendly,friendly,Friendly,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,2,1,home,home,Glasgow,Glasgow,Scotland,0,martj42/international_results,1874-03-07__scotland__england
18750306-eng-sco-friendly,1875-03-06T00:00:00Z,Friendly,friendly,Friendly,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,2,2,draw,draw,London,London,England,0,martj42/international_results,1875-03-06__england__scotland
18760304-sco-eng-friendly,1876-03-04T00:00:00Z,Friendly,friendly,Friendly,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,3,0,home,home,Glasgow,Glasgow,Scotland,0,martj42/international_results,1876-03-04__scotland__england
18770303-eng-sco-friendly,1877-03-03T00:00:00Z,Friendly,friendly,Friendly,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,1,3,away,away,London,London,England,0,martj42/international_results,1877-03-03__england__scotland
18780302-sco-eng-friendly,1878-03-02T00:00:00Z,Friendly,friendly,Friendly,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,7,2,home,home,Glasgow,Glasgow,Scotland,0,martj42/international_results,1878-03-02__scotland__england
18790405-eng-sco-friendly,1879-04-05T00:00:00Z,Friendly,friendly,Friendly,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,5,4,home,home,London,London,England,0,martj42/international_results,1879-04-05__england__scotland
18800313-sco-eng-friendly,1880-03-13T00:00:00Z,Friendly,friendly,Friendly,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,5,4,home,home,Glasgow,Glasgow,Scotland,0,martj42/international_results,1880-03-13__scotland__england
18810312-eng-sco-friendly,1881-03-12T00:00:00Z,Friendly,friendly,Friendly,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,1,6,away,away,London,London,England,0,martj42/international_results,1881-03-12__england__scotland
18820311-sco-eng-friendly,1882-03-11T00:00:00Z,Friendly,friendly,Friendly,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,5,1,home,home,Glasgow,Glasgow,Scotland,0,martj42/international_results,1882-03-11__scotland__england
18830310-eng-sco-friendly,1883-03-10T00:00:00Z,Friendly,friendly,Friendly,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,2,3,away,away,Sheffield,Sheffield,England,0,martj42/international_results,1883-03-10__england__scotland
18840315-sco-eng-british-home-championship,1884-03-15T00:00:00Z,British Home Championship,competitive,British Home Championship,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,1,0,home,home,Glasgow,Glasgow,Scotland,0,martj42/international_results,1884-03-15__scotland__england
18850321-eng-sco-british-home-championship,1885-03-21T00:00:00Z,British Home Championship,competitive,British Home Championship,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,1,1,draw,draw,London,London,England,0,martj42/international_results,1885-03-21__england__scotland
18851128-usa-can-friendly,1885-11-28T00:00:00Z,Friendly,friendly,Friendly,usa,USA,美国,United States,can,CAN,加拿大,Canada,0,1,away,away,Newark,Newark,United States,0,martj42/international_results,1885-11-28__united states__canada
18860327-sco-eng-british-home-championship,1886-03-27T00:00:00Z,British Home Championship,competitive,British Home Championship,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,1,1,draw,draw,Glasgow,Glasgow,Scotland,0,martj42/international_results,1886-03-27__scotland__england
18861125-usa-can-friendly,1886-11-25T00:00:00Z,Friendly,friendly,Friendly,usa,USA,美国,United States,can,CAN,加拿大,Canada,3,2,home,home,Newark,Newark,United States,0,martj42/international_results,1886-11-25__united states__canada
18870319-eng-sco-british-home-championship,1887-03-19T00:00:00Z,British Home Championship,competitive,British Home Championship,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,2,3,away,away,Blackburn,Blackburn,England,0,martj42/international_results,1887-03-19__england__scotland
18880317-sco-eng-british-home-championship,1888-03-17T00:00:00Z,British Home Championship,competitive,British Home Championship,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,0,5,away,away,Glasgow,Glasgow,Scotland,0,martj42/international_results,1888-03-17__scotland__england
18880919-sco-can-friendly,1888-09-19T00:00:00Z,Friendly,friendly,Friendly,sco,SCO,苏格兰,Scotland,can,CAN,加拿大,Canada,4,0,home,home,Glasgow,Glasgow,Scotland,0,martj42/international_results,1888-09-19__scotland__canada
18890413-eng-sco-british-home-championship,1889-04-13T00:00:00Z,British Home Championship,competitive,British Home Championship,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,2,3,away,away,London,London,England,0,martj42/international_results,1889-04-13__england__scotland
18900405-sco-eng-british-home-championship,1890-04-05T00:00:00Z,British Home Championship,competitive,British Home Championship,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,1,1,draw,draw,Glasgow,Glasgow,Scotland,0,martj42/international_results,1890-04-05__scotland__england
18910404-eng-sco-british-home-championship,1891-04-04T00:00:00Z,British Home Championship,competitive,British Home Championship,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,2,1,home,home,Blackburn,Blackburn,England,0,martj42/international_results,1891-04-04__england__scotland
18920402-sco-eng-british-home-championship,1892-04-02T00:00:00Z,British Home Championship,competitive,British Home Championship,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,1,4,away,away,Glasgow,Glasgow,Scotland,0,martj42/international_results,1892-04-02__scotland__england
18930401-eng-sco-british-home-championship,1893-04-01T00:00:00Z,British Home Championship,competitive,British Home Championship,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,5,2,home,home,Richmond,Richmond,England,0,martj42/international_results,1893-04-01__england__scotland
18940407-sco-eng-british-home-championship,1894-04-07T00:00:00Z,British Home Championship,competitive,British Home Championship,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,2,2,draw,draw,Glasgow,Glasgow,Scotland,0,martj42/international_results,1894-04-07__scotland__england
18950406-eng-sco-british-home-championship,1895-04-06T00:00:00Z,British Home Championship,competitive,British Home Championship,eng,ENG,英格兰,England,sco,SCO,苏格兰,Scotland,3,0,home,home,Liverpool,Liverpool,England,0,martj42/international_results,1895-04-06__england__scotland
18960404-sco-eng-british-home-championship,1896-04-04T00:00:00Z,British Home Championship,competitive,British Home Championship,sco,SCO,苏格兰,Scotland,eng,ENG,英格兰,England,2,1,home,home,Glasgow,Glasgow,Scotland,0,martj42/international_results,1896-04-04__scotland__england
