pair_id,team_low_id,team_high_id,team_low_code,team_high_code,team_low_name,team_high_name,direct_matches,competitive_matches,friendly_matches,neutral_matches,last_match_date,last_match_score,coverage_status,verification_status,is_group_stage_pair,group_stage_match_no,model_fallback,source_notes
alg-arg,alg,arg,ALG,ARG,阿尔及利亚,阿根廷,1,0,1,1,2007-06-05T00:00:00Z,3-4,direct_history,verified_from_matches,1,19,direct_h2h,direct_history_from_matches
alg-aus,alg,aus,ALG,AUS,阿尔及利亚,澳大利亚,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-aut,alg,aut,ALG,AUT,阿尔及利亚,奥地利,1,1,0,1,1982-06-21T00:00:00Z,0-2,direct_history,verified_from_matches,1,69,direct_h2h,direct_history_from_matches
alg-bel,alg,bel,ALG,BEL,阿尔及利亚,比利时,3,1,2,1,2014-06-17T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-bih,alg,bih,ALG,BIH,阿尔及利亚,波黑,1,0,1,0,2012-11-14T00:00:00Z,0-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-bra,alg,bra,ALG,BRA,阿尔及利亚,巴西,4,1,3,2,2007-08-22T00:00:00Z,0-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-can,alg,can,ALG,CAN,阿尔及利亚,加拿大,1,0,1,0,1984-10-16T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-civ,alg,civ,ALG,CIV,阿尔及利亚,科特迪瓦,23,17,6,12,2022-01-20T00:00:00Z,3-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-cod,alg,cod,ALG,COD,阿尔及利亚,刚果（金）,7,4,3,5,2026-01-06T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-col,alg,col,ALG,COL,阿尔及利亚,哥伦比亚,1,0,1,0,2019-10-15T00:00:00Z,3-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
