team_a_id,team_a_code,team_a_name,team_a_name_en,team_b_id,team_b_code,team_b_name,team_b_name_en,all_matches,team_a_wins,draws,team_b_wins,team_a_goals,team_b_goals,competitive_matches,friendly_matches,neutral_matches,team_a_neutral_wins,team_b_neutral_wins,last_match_date,last_match_score,last_5_form_json,last_10_form_json
alg,ALG,阿尔及利亚,Algeria,arg,ARG,阿根廷,Argentina,1,0,0,1,3,4,0,1,1,0,1,2007-06-05T00:00:00Z,3-4,"[""L""]","[""L""]"
alg,ALG,阿尔及利亚,Algeria,aus,AUS,澳大利亚,Australia,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
alg,ALG,阿尔及利亚,Algeria,aut,AUT,奥地利,Austria,1,0,0,1,0,2,1,0,1,0,1,1982-06-21T00:00:00Z,0-2,"[""L""]","[""L""]"
alg,ALG,阿尔及利亚,Algeria,bel,BEL,比利时,Belgium,3,0,1,2,2,5,1,2,1,0,1,2014-06-17T00:00:00Z,2-1,"[""L"",""L"",""D""]","[""L"",""L"",""D""]"
alg,ALG,阿尔及利亚,Algeria,bih,BIH,波黑,Bosnia and Herzegovina,1,0,0,1,0,1,0,1,0,0,0,2012-11-14T00:00:00Z,0-1,"[""L""]","[""L""]"
alg,ALG,阿尔及利亚,Algeria,bra,BRA,巴西,Brazil,4,0,0,4,0,8,1,3,2,0,2,2007-08-22T00:00:00Z,0-2,"[""L"",""L"",""L"",""L""]","[""L"",""L"",""L"",""L""]"
alg,ALG,阿尔及利亚,Algeria,can,CAN,加拿大,Canada,1,1,0,0,1,0,0,1,0,0,0,1984-10-16T00:00:00Z,1-0,"[""W""]","[""W""]"
alg,ALG,阿尔及利亚,Algeria,civ,CIV,科特迪瓦,Cote d'Ivoire,23,7,8,8,27,29,17,6,12,1,6,2022-01-20T00:00:00Z,3-1,"[""L"",""D"",""L"",""D"",""W""]","[""L"",""D"",""L"",""D"",""W"",""L"",""W"",""D"",""D"",""L""]"
alg,ALG,阿尔及利亚,Algeria,cod,COD,刚果（金）,DR Congo,7,3,4,0,9,4,4,3,5,3,0,2026-01-06T00:00:00Z,1-0,"[""W"",""D"",""D"",""D"",""D""]","[""W"",""D"",""D"",""D"",""D"",""W"",""W""]"
alg,ALG,阿尔及利亚,Algeria,col,COL,哥伦比亚,Colombia,1,1,0,0,3,0,0,1,0,0,0,2019-10-15T00:00:00Z,3-0,"[""W""]","[""W""]"
alg,ALG,阿尔及利亚,Algeria,cpv,CPV,佛得角,Cabo Verde,6,3,2,1,13,6,4,2,0,0,0,2023-10-12T00:00:00Z,5-1,"[""W"",""L"",""D"",""W"",""W""]","[""W"",""L"",""D"",""W"",""W"",""D""]"
alg,ALG,阿尔及利亚,Algeria,cro,CRO,克罗地亚,Croatia,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
alg,ALG,阿尔及利亚,Algeria,cuw,CUW,库拉索,Curacao,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
alg,ALG,阿尔及利亚,Algeria,cze,CZE,捷克,Czechia,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
alg,ALG,阿尔及利亚,Algeria,ecu,ECU,厄瓜多尔,Ecuador,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
